rca2ntca
0
1
2
3
1
4
3
5
2
3
6
7
8
9
10
11
12
13
14
15
13
16
15
17
14
15
18
19
20
21
22
23
2
8
6
10
3
9
7
11
24
25
26
27
25
28
27
29
14
20
18
22
15
21
19
23
30
31
32
33
31
34
33
35
1
4
8
9
36
37
38
39
3
5
10
11
38
39
40
41
13
16
20
21
42
43
44
45
15
17
22
23
44
45
46
47
8
48
49
50
38
51
52
53
25
54
55
56
57
58
59
60
20
61
62
63
44
64
65
66
31
67
68
69
70
71
72
73
2
8
24
25
8
48
25
54
6
10
26
27
49
50
55
56
14
20
30
31
20
61
31
67
18
22
32
33
62
63
68
69
6
49
26
55
10
50
27
56
26
55
74
75
55
76
75
77
18
62
32
68
22
63
33
69
32
68
78
79
68
80
79
81
3
9
25
28
38
51
57
58
7
11
27
29
52
53
59
60
15
21
31
34
44
64
70
71
19
23
33
35
65
66
72
73
10
50
55
76
40
82
59
83
27
56
75
77
59
83
84
85
22
63
68
80
46
86
72
87
33
69
79
81
72
87
88
89
1
36
8
38
4
37
9
39
8
38
49
52
48
51
50
53
13
42
20
44
16
43
21
45
20
44
62
65
61
64
63
66
3
38
10
40
5
39
11
41
25
57
55
59
54
58
56
60
15
44
22
46
17
45
23
47
31
70
68
72
67
71
69
73
4
37
48
51
37
90
51
91
9
39
50
53
51
91
82
92
16
43
61
64
43
93
64
94
21
45
63
66
64
94
86
95
9
51
50
82
39
91
53
92
28
58
76
83
58
96
83
97
21
64
63
86
45
94
66
95
34
71
80
87
71
98
87
99
3
38
25
57
9
51
28
58
10
40
55
59
50
82
76
83
15
44
31
70
21
64
34
71
22
46
68
72
63
86
80
87
7
52
27
59
11
53
29
60
27
59
75
84
56
83
77
85
19
65
33
72
23
66
35
73
33
72
79
88
69
87
81
89
5
39
54
58
39
91
58
96
11
41
56
60
53
92
83
97
17
45
67
71
45
94
71
98
23
47
69
73
66
95
87
99
11
53
56
83
41
92
60
97
29
60
77
85
60
97
85
100
23
66
69
87
47
95
73
99
35
73
81
89
73
99
89
101
